"edad","expHCE_muj","expHCE_hom"
0,7330.59642399393,11928.9603696864
1,3694.48845550173,4215.242824264
2,1833.27280955647,2294.58461065357
3,1452.87380260127,2043.3637096368
4,1311.44351800147,1677.02665407383
5,1233.92685338122,1584.40663652734
6,1132.84295585619,1529.61091731276
7,987.314265728247,1372.38300230381
8,974.755866790948,1380.50751691054
9,1065.83039406598,1304.6544850956
10,1328.70524386352,1284.25791795954
11,1145.44899393686,1387.93375363423
12,1426.98729688155,1376.14228119015
13,1454.69068363272,1552.78987214311
14,1545.57762774734,1789.04014828512
15,1530.57554441266,1875.07577050133
16,1781.10075980784,1975.75639882008
17,2032.06326109804,2120.79335362646
18,1888.13781752485,2105.97541136502
19,1746.90391512386,2054.08364170488
20,1880.82188167137,2032.30775882248
21,1857.06665814252,2109.43948804584
22,1827.49281767714,1988.83191805077
23,1931.59418576106,1947.6402817761
24,2042.16286729278,1936.61021135587
25,2270.85184878552,2090.00310599491
26,2429.76588842507,2065.11281488364
27,2600.67463994688,2113.44237102448
28,2857.18511678545,2145.86866782527
29,3118.96707695528,2080.15045750547
30,3628.40477676382,2288.4355564295
31,3611.31755630684,2334.3013912198
32,3817.50400780353,2630.76017769384
33,3883.75001538987,2242.20232387928
34,3719.83779601819,2270.42654747317
35,3593.81270744164,2518.52109862799
36,3827.5339601488,2864.81198155147
37,3485.70510117928,2776.36460685039
38,3721.24119293783,3010.55621867208
39,3784.14605479353,3172.45146321416
40,3789.64641637726,3238.79280856859
41,3810.01116107268,3101.82563992915
42,3906.71578789964,3337.4584260124
43,3910.22702066879,3527.3737243855
44,4041.50441539005,3874.73387203208
45,4108.44569896468,3990.84975048699
46,4334.09588763791,4365.66080170226
47,4380.97389209042,4638.81581781381
48,4509.50317291481,4838.25126656582
49,4799.18774504908,5063.59551115168
50,4921.29110533073,5257.28443376743
51,5270.44912546745,5622.86839986871
52,5579.04937190289,6092.62498431443
53,5861.54873654898,6724.71332145367
54,6119.85000095572,6940.77128904609
55,6402.69619250473,7280.48957359913
56,7591.01698611622,8293.38537011609
57,7327.60024020854,8786.75548049742
58,7516.94773639988,9498.50670003544
59,8427.20778135828,9947.80313315702
60,9093.81751484858,11448.905880503
61,10453.2813195487,13125.170748753
62,11614.6957430627,13186.1807528412
63,12881.1857086191,14689.1578235281
64,14179.3762565509,17564.7888629331
65,16488.4484886366,18878.1152823836
66,19265.4652997138,20999.5612848766
67,21376.124777024,22029.1975533671
68,21678.67954378,24692.8341286644
69,23989.2656083498,25948.0090845624
70,26816.6446624365,30098.9674638134
71,29124.4518519625,33687.2486413512
72,30450.4232362924,34748.9446459304
73,34832.5751114428,43524.5541024112
74,35793.997849573,47705.0800831085
75,37468.7173566067,47732.0320343017
76,41847.8122123203,51789.1174312753
77,40287.3692809175,54776.9274164973
78,44426.0002109051,57431.1480975922
79,47812.9159969085,62764.782032175
80,53732.7521084753,71883.8601547351
