age,expHCE_women,expHCE_men
0,2329.6841478657216,4256.899032999763
1,2509.082698852116,4203.632608818292
2,2685.6701652722068,4152.719050034249
3,2859.4457716728025,4104.241864771616
4,3030.403758016887,4058.3103354226873
5,3198.535440642334,4015.057361729079
6,3363.8367680447973,3974.6191731145404
7,3526.308964438219,3937.134268358156
8,3685.9588765023764,3902.7432205252308
9,3842.8042163009277,3871.59020204852
10,3996.8879473664665,3843.827825352224
11,4148.262792502366,3819.6112705992864
12,4296.986308062462,3799.0960510397745
13,4443.120979196117,3782.4375008951106
14,4586.733638454969,3769.786354281246
15,4727.893341099993,3761.2757251793264
16,4866.67301639982,3757.0302462878903
17,5003.149987168307,3757.168682033257
18,5137.40575318399,3761.8026944809535
19,5269.52064337369,3771.027448077404
20,5399.555919738181,3784.8923827336966
21,5527.563198974593,3803.415313382825
22,5653.586780390949,3826.585411940841
23,5777.660803938416,3854.3582076928833
24,5899.80657294714,3886.644491309386
25,6020.031097335452,3923.2848236928603
26,6138.3154734830005,3964.046103000931
27,6254.6016898144435,4008.6086746032197
28,6368.775125595873,4056.5436936534284
29,6480.635578007839,4107.284813401913
30,6589.84652686278,4160.093702916167
31,6695.8803479848875,4214.00404383687
32,6797.935470983088,4267.778398894647
33,6894.831743415847,4319.937804893188
34,6984.928516224457,4369.058812060504
35,7066.267786619093,4414.829830354162
36,7137.703658289703,4460.620629341611
37,7201.382340890764,4516.521333795359
38,7260.033018596498,4596.795756821383
39,7310.026207215151,4707.30620623036
40,7359.024947204309,4832.386900539262
41,7422.8000081255805,4958.202736047278
42,7491.540538758587,5096.8624791191605
43,7571.166895054302,5264.003645659907
44,7643.188164417212,5457.344441977489
45,7713.0133821015415,5664.550329459547
46,7801.910272316647,5887.795310294855
47,7904.789761476337,6129.097777520669
48,8018.615628623694,6394.002859786389
49,8125.137545544342,6667.483444112373
50,8222.771599394426,6948.90718592101
51,8349.276913748095,7255.154524833446
52,8501.702919247378,7586.735945648979
53,8672.579066838129,7935.881194563265
54,8818.362710752193,8277.67975583177
55,8938.299240392622,8614.600384865238
56,9115.508943670131,8989.108600571675
57,9359.064618726414,9405.583369030044
58,9640.433168577341,9843.52300030025
59,9820.071582973433,10235.714152215123
60,9959.641076386399,10605.418126941207
61,10217.48129434888,11043.623146084296
62,10598.22819554658,11558.066934613656
63,11025.553348226547,12102.200927388843
64,11266.546974829422,12531.152365008453
65,11463.210576657784,12914.19164164691
66,11726.600485194465,13324.73783022269
67,12148.380653886674,13827.747838853851
68,12758.923854981771,14447.604255032666
69,13558.259748015073,15187.249664493947
70,14536.998472362415,16042.222827637943
71,15684.65083206581,17006.591241019378
72,16992.105293386277,18074.88983711633
73,18452.03077230762,19242.56589733181
74,20058.692130894902,20505.955919935503
75,21807.647912988654,21862.134439306792
76,23695.461091877416,23308.77924514105
77,25719.500410140703,24844.067874547414
78,27877.79368022414,26466.59454363949
79,30168.950316198752,28175.32313696033
80,32592.154798675576,29969.577175293056
81,35146.95904276117,31848.92527487131
82,37833.19717017253,33813.13224700578
83,40650.95009344506,35862.13679086116
84,43600.560032299865,37996.060416440574
85,46682.71400527553,40215.25981438539
86,49898.255563083876,42520.207109126946
87,53248.12228457515,44911.44956974417
88,56733.33487556579,47389.60196249541
89,60355.02670184556,49955.368667911695
90,64114.54351639855,52609.6177289046
91,68013.30564570028,55353.27901779013
92,72052.76085969714,58187.309348935436
93,76234.37882309977,61112.68831909329
94,80559.66640631319,64130.43437936052
95,85030.22769548096,67241.66411623737
96,89647.70525431515,70447.53502706332
97,94413.75613682924,73749.22272369731
98,99330.04758604418,77147.91738274273
99,104398.14338227882,80644.73904293633
100,109619.14863282295,84240.4730015647
